,id,member_id,ctime,note,ip_address,appcomponent,module,controller,do,lang_key,member_name
0,1,1,1315843548,Category 'Iron March HQ'  edited,178.140.119.217,forums,forums,forums,doedit,,
1,2,1,1315843679,Forum 'Adminship Center'  edited,178.140.119.217,forums,forums,forums,doedit,,
2,3,1,1315843695,Forum 'Adminship Center'  edited,178.140.119.217,forums,forums,forums,doedit,,
3,4,1,1315843898,Forum 'Adminship Bunker' created,178.140.119.217,forums,forums,forums,donew,,
4,5,1,1315844113,Edited Group 'The Adminship',178.140.119.217,members,groups,groups,doedit,,
5,6,1,1315844153,Edited Group 'Exiled',178.140.119.217,members,groups,groups,doedit,,
6,7,1,1315844166,Edited Group 'Visitors',178.140.119.217,members,groups,groups,doedit,,
7,8,1,1315844188,Edited Group 'Black Corps',178.140.119.217,members,groups,groups,doedit,,
8,9,1,1315844431,Added Group 'Prisoner',178.140.119.217,members,groups,groups,doadd,,
9,10,1,1315850043,Forum 'Announcements' created,178.140.119.217,forums,forums,forums,donew,,
10,11,1,1315850286,Forum 'Public Relations' created,178.140.119.217,forums,forums,forums,donew,,
11,12,1,1315850386,Forum 'Announcements and Charter'  edited,178.140.119.217,forums,forums,forums,doedit,,
12,13,1,1315850696,Forum 'Black Corps' created,178.140.119.217,forums,forums,forums,donew,,
13,14,1,1315850743,Forum 'Adminship Bunker'  edited,178.140.119.217,forums,forums,forums,doedit,,
14,15,1,1315850890,Category 'The News' created,178.140.119.217,forums,forums,forums,donew,,
15,16,1,1315850995,Forum 'World News' created,178.140.119.217,forums,forums,forums,donew,,
16,17,1,1315851174,Forum 'Your local news' created,178.140.119.217,forums,forums,forums,donew,,
17,18,1,1315851541,Category 'General Discussions' created,178.140.119.217,forums,forums,forums,donew,,
18,19,1,1315851605,Forum 'Introductions' created,178.140.119.217,forums,forums,forums,donew,,
19,20,1,1315851703,Category 'General Off-Topic'  edited,178.140.119.217,forums,forums,forums,doedit,,
20,21,1,1315852430,Forum 'General Discussions' created,178.140.119.217,forums,forums,forums,donew,,
21,22,1,1315852503,Forum 'Wastelands' created,178.140.119.217,forums,forums,forums,donew,,
22,23,1,1315852683,Forum 'Specific subjects' created,178.140.119.217,forums,forums,forums,donew,,
23,24,1,1315852758,Forum 'History and War' created,178.140.119.217,forums,forums,forums,donew,,
24,25,1,1315852840,Forum 'Psychology' created,178.140.119.217,forums,forums,forums,donew,,
25,26,1,1315853258,Category 'Fascism Hub' created,178.140.119.217,forums,forums,forums,donew,,
26,27,1,1315853354,Forum 'Fascist History' created,178.140.119.217,forums,forums,forums,donew,,
27,28,1,1315853492,Forum 'Italian Fascism' created,178.140.119.217,forums,forums,forums,donew,,
28,29,1,1315853563,Forum 'Falangism' created,178.140.119.217,forums,forums,forums,donew,,
29,30,1,1315853615,Forum 'Other Fascist Movements (Pre 1945)' created,178.140.119.217,forums,forums,forums,donew,,
30,31,1,1315853663,Forum 'Contemporary Fascism' created,178.140.119.217,forums,forums,forums,donew,,
31,32,1,1315853963,Forum 'Fascist Discussions' created,178.140.119.217,forums,forums,forums,donew,,
32,33,1,1315853987,Forum 'Fascist Discussions'  edited,178.140.119.217,forums,forums,forums,doedit,,
33,34,1,1315854055,Forum 'Fascist Foreign Policy' created,178.140.119.217,forums,forums,forums,donew,,
34,35,1,1315854261,Forum 'Fascist Economics' created,178.140.119.217,forums,forums,forums,donew,,
35,36,1,1315854333,Forum 'Fascist Social &amp; Cutural Issues' created,178.140.119.217,forums,forums,forums,donew,,
36,37,1,1315854379,Forum 'Fascism and Religion' created,178.140.119.217,forums,forums,forums,donew,,
37,38,1,1315854438,Forum 'Cultural Fascism' created,178.140.119.217,forums,forums,forums,donew,,
38,39,1,1315854643,"Forum 'Fascist Fiction, Poetry and Other Forms of Media' created",178.140.119.217,forums,forums,forums,donew,,
39,40,1,1315854739,Forum 'Against the Modern World' created,178.140.119.217,forums,forums,forums,donew,,
40,41,1,1315854885,"Forum 'Planning, Theory and Ideas' created",178.140.119.217,forums,forums,forums,donew,,
41,42,1,1315854958,Category 'New March Archives' created,178.140.119.217,forums,forums,forums,donew,,
42,43,1,1315854993,Category 'New March Forum Archives'  edited,178.140.119.217,forums,forums,forums,doedit,,
